Nombre,Teléfono,Dirección,Website,Rating,Reseñas,Google Maps Link
Camper cross taller de motocicletas,300 4248738,"Cra. 46 #4054, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",https://m.facebook.com/100048586582723/about/,4.9,94,https://maps.google.com/?cid=12666999543941226424&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
El Taller Medellín y DCM desengrasante profesional,316 4317678,"Carrera 44, Av. Niquitao #41 A - 62, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",https://instagram.com/eltallermedellin?igshid=YmMyMTA2M2Y=,5.0,22,https://maps.google.com/?cid=8934769200641916345&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
El amigo de las motos,316 5446054,"Cra. 52 # 60-21, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",No disponible,5.0,25,https://maps.google.com/?cid=7139207395767335884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Dairo Motos Medellín,310 4227143,"Cra. 38 # 40-53, El Salvador, Medellín, Buenos Aires, Medellín, Antioquia, Colombia",https://www.facebook.com/profile.php?id=100015727140534,4.8,108,https://maps.google.com/?cid=2179839138358576879&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Mecánico de moto a domicilio 24/7,322 5389589,"0, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",https://wa.me/573225389589/,5.0,14,https://maps.google.com/?cid=17423113191256703673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Taller de Motos,42162026,"Cra. 38 #49-32, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",No disponible,4.0,8,https://maps.google.com/?cid=8041686260158099568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Einer Motos,300 8100792,"Cl. 59 # 47-52, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",No disponible,4.9,17,https://maps.google.com/?cid=17859124059411079019&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Taller HR motos,314 5484099,"Cl. 46 #39 - 81, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia, Colombia",No disponible,5.0,7,https://maps.google.com/?cid=13705249603864634751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
MotoServicios Arango,313 7144466,"Ecuador #59 - 02, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",http://www.facebook.com/motosarango,4.8,34,https://maps.google.com/?cid=2014489588094759399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
mecanico de motos a domicilio,300 3827114,"Cl 44 #50 23, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",No disponible,4.3,17,https://maps.google.com/?cid=2741362266767205864&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
